name,drama,dance,singing,coding,web,drama_club,dance_club,code_club,photography_club,Science_club
Gaurav,1,0,0,1,1,1,0,0,0,0
Abhi,0,0,0,1,0,0,0,1,0,1
Raunak,1,0,0,1,0,1,0,1,0,0
Sourav,0,0,0,1,0,0,0,1,0,0
Sourabh,0,0,0,0,1,0,0,0,0,1
Rishav,0,0,0,1,1,0,0,1,0,1
Gyanesh,1,0,0,1,0,1,0,1,0,0
Ankit,1,0,0,1,0,1,1,0,0,0
Alok,1,0,1,1,0,1,0,1,1,0
Sumit,1,0,1,1,0,1,0,0,0,0
Sun,0,0,0,0,0,0,0,0,0,0
Moon,1,0,0,0,0,1,0,0,0,0
Earth,1,0,0,0,0,1,0,0,1,0
Arth,0,0,0,0,0,0,0,0,1,0
Mukund,0,0,0,1,0,0,0,1,0,0
Vandana,0,0,0,1,1,0,0,1,0,1
India,0,0,0,1,0,0,0,1,0,0
Pak,0,0,0,0,0,0,0,0,0,0
Shyama,0,0,1,0,0,0,0,0,1,0
Ladha,0,0,1,0,0,0,1,0,0,0
Kusum,1,0,1,0,0,1,0,1,0,0
Ful,1,0,1,0,0,1,0,0,0,0
Nanz,1,0,1,0,0,1,0,0,0,1
Vandana,1,0,1,0,0,1,0,0,0,0
Masumi,0,0,1,0,1,0,0,0,1,0
Mouni,1,0,0,1,0,1,0,1,0,0
Katrina,0,0,1,1,0,0,0,1,0,0
Kareena,1,0,0,0,1,1,0,0,0,0
Muskan,1,0,0,0,0,1,0,0,0,0
Mukund,0,1,0,0,0,0,1,0,0,1
Love,0,1,0,1,0,0,1,1,0,0
Pyaar,0,1,0,0,0,0,1,0,0,0
Dhoka,1,1,0,0,0,1,1,0,0,0
Naagin,1,1,1,0,0,1,1,0,0,0
Modi,1,1,0,1,0,1,1,1,0,0
Rahul,1,0,0,1,0,0,0,1,0,1
Gandhi,0,0,0,1,0,0,0,0,0,0
Sonia,0,0,0,1,0,0,0,1,0,0
Hello,0,0,0,1,1,0,0,1,0,1
World,1,0,0,0,0,1,0,0,0,0
Milky,0,0,0,0,0,0,0,0,0,0
Galaxy,0,1,0,1,0,0,1,1,0,0
Mars,0,1,1,0,0,0,1,0,0,0
Sameer,1,1,0,0,0,1,1,0,0,0
Ayush,1,1,0,0,0,1,1,0,0,0
Aayush,1,1,0,1,0,0,1,1,0,0
Priya,1,1,0,0,0,1,1,0,0,0
Nand,0,0,0,1,1,0,0,1,0,0
Ghansu,1,0,0,0,0,1,0,0,0,0
Tipu,0,0,0,0,0,0,0,0,0,0
Sultan,0,0,1,1,0,0,0,1,0,1
Faiz,0,0,0,0,0,0,0,0,0,0
Wasif,0,0,0,0,0,0,0,0,0,1
Farhan,1,0,0,0,0,1,0,0,0,0
Abhinaba,0,1,0,1,0,0,1,1,0,0
Daipy,0,0,0,0,0,0,0,0,0,1
Anubhav,0,1,1,0,1,0,1,0,0,0
Sherly,0,0,0,1,0,0,0,1,0,0
Pari,0,0,0,0,0,0,0,0,0,1
Preeti,0,0,1,0,1,1,0,0,0,0
Beauty,0,0,0,1,1,0,0,1,0,0
Priyanka,0,1,1,1,0,0,1,1,1,0
Pariniti,0,0,0,0,0,1,0,0,0,0
Alia,0,0,0,1,0,0,0,1,0,1
Bhatt,0,0,0,1,0,0,0,1,0,0
Varun,1,0,0,0,0,1,0,0,0,0
Sid,1,0,0,0,0,1,0,0,0,0
Ritik,1,0,1,1,0,0,0,1,0,1
Vaibhav,1,0,0,1,0,1,0,1,0,0
Saroj,1,0,0,1,0,1,0,1,0,0
Farah,0,0,0,0,0,0,1,0,0,0
Mukesh,1,0,0,1,0,0,0,1,0,0
Sudhar,1,0,0,0,0,1,0,0,0,0
Darling,0,1,1,1,0,0,1,1,0,0
Jaan,0,0,0,0,0,0,0,0,0,1
Gourav,0,1,0,0,0,0,1,0,0,0
Saurav,0,0,0,0,0,0,0,0,0,0
Avigyan,1,1,0,0,0,1,1,0,0,1
Mukherjee,1,1,0,1,0,1,1,1,0,0
Vishal,1,0,0,1,1,1,0,1,0,0
Amit,1,0,1,0,0,1,0,0,0,0
Radhesh,0,0,0,0,0,0,0,0,0,1
Radha,1,0,0,0,0,1,1,1,0,0
Dhruv,0,0,1,0,0,0,0,0,0,0
Dhruba,1,0,1,1,0,1,0,1,0,0
Rishi,0,0,1,0,0,0,0,0,1,0
Hitesh,1,0,0,1,0,1,0,0,0,0
Mohit,0,0,0,1,1,0,0,1,0,0
Nishit,1,0,0,0,0,1,0,0,0,0
Mantri,0,0,0,0,0,0,0,0,0,0
Udit,0,1,0,0,1,0,1,0,1,0
Mudit,0,0,0,1,0,0,0,0,0,1
Prachi,0,0,0,0,0,0,0,1,0,0
Ankita,1,0,0,1,0,0,0,1,0,0
Bumrah,1,0,0,0,1,1,0,0,0,1
Virat,1,1,0,0,0,1,0,0,1,0
Mahi,1,1,1,1,0,1,0,1,0,0
Mauja,0,0,0,0,0,0,0,0,0,0
Ronali,0,0,1,1,0,0,0,1,0,1
