NAME,CT marks,Sem marks,Attendance,Grade,Course
Gaurav,27,82,45,84,IT
Abhi,29,87,70,89,IT
Rishi,18,69,56,67,IT
Utsav,12,55,90,52,IT
Amar,25,89,13,88,IT
Daip,9,35,2,34,IT
Aashna,2,30,67,25,IT
Sunny,28,90,97,91,IT
Pariniti,14,72,46,66,IT
Anubhav,21,77,56,75,IT
Ram,11,65,78,58,IT
Lakhan,4,32,15,28,IT
Avishek,5,21,0,20,IT
Anmol,29,94,67,95,IT
Sand,23,78,87,78,IT
Krishna,27,88,76,88,IT
Vishnu,30,97,98,98,IT
Harsh,13,60,35,56,IT
Harshit,14,45,56,45,IT
Dev,30,92,81,94,IT
Debdatta,26,85,25,85,IT
Koyel,13,45,15,45,IT
Kattapa,9,32,7,32,IT
Heroin,23,75,56,75,IT
Shah,16,70,75,66,IT
Salman,18,67,83,65,IT
Amir,26,89,65,88,IT
Varun,29,90,32,92,IT
Suresh,8,25,21,25,IT
Disha,11,39,32,38,IT
Kareena,23,67,48,69,IT
Amrit,25,95,90,92,IT
Alia,20,80,73,77,IT
Sunaina,2,14,0,12,IT
Premika,17,54,5,55,IT
Laxman,18,67,9,65,IT
Hanuman,29,96,79,96,IT
Dixit,21,81,89,78,IT
Jai,23,74,64,75,IT
Priya,30,100,100,100,IT
Nisha,23,71,78,72,CSE
Anushka,29,93,32,94,CSE
Shibani,4,15,67,15,CSE
Shivani,13,59,45,55,CSE
Alok,28,91,29,92,CSE
Alaap,27,89,89,89,CSE
Utkarsh,15,68,96,64,CSE
Rishav,18,72,67,69,CSE
Manan,12,48,60,46,CSE
Hira,30,99,100,99,CSE
Kheera,27,85,90,86,CSE
Uttaran,7,31,23,29,CSE
Manoj,4,21,13,19,CSE
Gauri,0,0,0,0,CSE
Gowri,16,61,53,59,CSE
Laila,14,47,78,47,CSE
Majnu,21,70,32,70,CSE
Romeo,29,97,45,97,CSE
Juliet,18,60,89,60,CSE
Shakes,30,100,45,100,CSE
Lilu,12,40,67,40,CSE
Tittu,24,80,89,80,CSE
Meethu,26,87,90,87,CSE
Chintu,28,93,12,93,CSE
Lalu,1,3,0,3,CSE
Aalu,4,13,5,13,CSE
Kalu,12,40,56,40,ECE
Kcm,18,60,78,60,ECE
Sangeeta,15,50,21,50,ECE
Mohit,21,70,67,70,ECE
Rohit,23,77,89,77,ECE
Hitesh,25,83,76,83,ECE
Brijesh,12,40,34,40,ECE
Bantu,13,43,23,43,ECE
Nityesh,16,53,67,53,ECE
Karan,19,63,89,63,ECE
Dileep,5,17,90,17,ECE
Ninja,14,47,91,47,ECE
Dandu,9,30,23,30,ECE
Sokha,25,83,45,83,ECE
Sukhi,29,97,67,97,ECE
Ravi,23,77,76,77,ECE
Gourav,25,83,54,83,ECE
Roshab,16,53,43,53,ECE
Roshani,17,57,89,57,ECE
Roshan,17,57,98,57,ECE
Amarnath,9,30,87,30,ECE
Som,23,77,76,77,ECE
Somnath,26,87,21,87,ECE
Nagesh,23,77,12,77,ECE
Roza,12,40,34,40,Printing
Reza,29,97,56,97,Printing
Dipro,24,80,78,80,Printing
Diprotiv,30,100,90,100,Printing
Alex,21,70,32,70,Printing
Alexa,15,50,54,50,Printing
Asona,2,7,65,7,Printing
Sona,13,43,76,43,Printing
Simran,19,63,87,63,Printing
Sharmeela,27,90,23,90,Printing
Nisshita,21,70,45,70,Printing
Ishita,24,80,94,80,Printing
Harma,15,50,63,50,Printing
Loyal,18,60,26,60,Printing
Uber,23,77,24,77,Printing
zomato,21,70,36,70,Printing
Kerala,13,43,58,43,Printing
Andhra,15,50,96,50,Printing
Hima,18,60,53,60,Printing
Sima,23,77,75,77,Printing
Kima,25,83,78,83,Printing
Nirma,27,90,57,90,Printing
Birla,21,70,87,70,Printing
Uta,27,90,75,90,Printing
Lily,23,77,53,77,Printing
Hamesha,30,100,45,100,Printing
Lullu,2,7,32,7,Printing
llu,6,20,78,20,Printing
Nisha,13,43,81,43,Printing
Kisha,15,50,85,50,Printing
Katrina,21,70,0,70,Printing
Dipika,28,93,34,93,Printing
Deepika,21,70,51,70,Printing
Priyanka,13,43,10,43,Printing
Moondhra,12,40,8,40,Printing
Harshita,10,33,90,33,Printing
Hasena,7,23,64,23,Printing
Nirmala,25,83,56,83,Printing
Bahumati,23,77,76,77,Printing
Sakshi,23,77,34,77,Chemical
Kriti,25,83,58,83,Chemical
Kirti,1,3,98,3,Chemical
Ghochi,6,20,75,20,Chemical
Nidhi,13,43,35,43,Chemical
Pridhi,17,57,56,57,Chemical
Pari,19,63,38,63,Chemical
Paridhi,23,77,90,77,Chemical
Nishika,28,93,76,93,Chemical
Ishika,29,97,3,97,Chemical
Harmone,18,60,0,60,Chemical
Hormone,14,47,26,47,Chemical
Kamali,9,30,46,30,Chemical
Herbal,27,90,89,90,Chemical
Shilpa,14,47,64,47,Chemical
Milpa,13,43,35,43,Chemical
Mylta,25,83,47,83,Chemical
Hnacouver,19,63,67,63,Chemical
Drola,18,60,90,60,Chemical
Srudha,27,90,32,90,Chemical
Shradha,25,83,54,83,Chemical
Mundhra,16,53,65,53,Chemical
Rohini,17,57,76,57,Chemical
Ganchi,18,60,87,60,Chemical
nir,19,63,12,63,Chemical
gir,4,13,1,13,Chemical
sanju,5,17,45,17,Chemical
sanjay,25,83,34,83,Chemical
anju,24,80,67,80,Chemical
manju,13,43,78,43,Chemical
lakshmi,17,57,98,57,Chemical
rekha,19,63,65,63,Chemical
sreedevi,24,80,45,80,Chemical
nirm,28,93,12,93,Chemical
Firm,21,70,45,70,Chemical
aloksha,19,63,67,63,Chemical
Dipanita,15,50,76,50,Chemical
Rover,9,30,98,30,Chemical
Grover,19,63,45,63,Chemical
Sultan,13,43,34,43,Chemical
Wasif,24,80,,80,Chemical
Nasiff,30,100,43,100,Chemical
Tarulata,1,3,98,3,Chemical
Tari,4,13,57,13,Chemical
Barelli,6,20,46,20,Chemical
Shimla,13,43,37,43,Chemical
Puri,20,67,85,67,Chemical
Shruti,29,97,65,97,Chemical
Sarla,15,50,34,50,Chemical
Garla,17,57,56,57,Chemical
Ahmad,26,87,78,87,Chemical
Ansari,12,40,54,40,Chemical
Md,2,7,67,7,Chemical
Virat,16,53,90,53,Chemical
Pujara,8,27,98,27,Power
Rahane,28,93,54,93,Power
Sachin,26,87,58,87,Power
Sehwag,23,77,54,77,Power
Rahul,15,50,78,50,Power
Dravid,17,57,65,57,Power
Tendulkar,27,90,67,90,Power
KL Rahul,26,87,78,87,Power
Akram,15,50,65,50,Power
Umar,3,10,32,10,Power
Gul,18,60,12,60,Power
Gautam,27,90,0,90,Power
Muskan,23,77,90,77,Power
Vidhi,2,7,74,7,Power
Faiz,24,80,56,80,Power
Ritik,26,87,57,87,Power
Vaibhav,27,90,24,90,Power
hiteshi,29,97,78,97,Power
Norm,13,43,34,43,Power
Nobita,16,53,78,53,Power
Doraemon,29,97,90,97,Power
Shizuka,26,87,11,87,Power
Maurya,23,77,5,77,Power
Mughal,19,63,34,63,Power
Gupta,1,3,33,3,Power
Ankit,14,47,48,47,Power
Agarwal,18,60,44,60,Power
Himesh,20,67,8,67,Power
Shaan,30,100,87,100,Power
Niti,2,7,53,7,Power
Mukti,21,70,67,70,Power
Bhajji,12,40,21,40,Power
Yuvraj,14,47,32,47,Power
Singhal,18,60,43,60,Power
Singh,21,70,54,70,Power
Himitesh,25,83,76,83,Power
Keshari,22,73,98,73,Power
Murli,20,67,78,67,Power
Kartik,12,40,34,40,Power
Mukt,19,63,12,63,Power
Lux,5,17,78,17,Power
Margo,8,27,90,27,Power
Namaste,15,50,9,50,Power
Hello,14,47,76,47,Power
Pranav,19,63,45,63,Power
Debjyoti,29,97,18,97,Power
