NAME,CT marks,SEM_MARKS,Attendance,Grade,Course
Ram ,27,88,56,A,1
Sita,21,69,78,C,1
Ravan,23,75,43,B,1
Kaushalya,14,46,56,E,1
Parvati,17,56,87,D,1
Durga,19,62,34,C,1
Shivaji,1,3,57,F,1
Akbar,8,26,89,F,1
Birbal,23,75,93,B,1
Ashoka,30,98,74,Q,2
Guptaji,15,49,65,E,2
Bhabhiji,12,39,43,F,2
Maurya ji,10,33,56,F,2
Bheem,16,52,45,D,2
Chutki,23,75,90,B,2
Golu,21,69,32,C,2
Sonu,25,82,45,A,2
Monu,28,91,54,Q,2
Mukher,30,98,73,Q,2
Tapar,21,69,72,C,3
Hatim,3,10,12,F,3
Shinchan,7,23,0,F,3
himawari,12,39,56,F,3
Lalita,15,49,24,E,3
Laila,26,85,87,A,3
Majnu,20,65,60,C,3
Subhangi,24,78,43,B,3
Anurag,26,85,21,A,3
Johar,16,52,44,D,3
