NAME,CT marks,SEM_MARKS,Attendance,Grade,Course
Gaurav,27,82,45,A,IT
Abhi,29,87,70,A,IT
Rishi,18,69,56,C,IT
Utsav,12,55,90,D,IT
Amar,25,89,13,A,IT
Daip,9,35,2,F,IT
Aashna,2,30,67,F,IT
Sunny,28,90,97,Q,IT
Pariniti,14,72,46,C,IT
Anubhav,21,77,56,B,IT
Ram,11,65,78,D,IT
Lakhan,4,32,15,F,IT
Avishek,5,21,0,F,IT
Anmol,29,94,67,Q,IT
Sand,23,78,87,B,IT
Krishna,27,88,76,A,IT
Vishnu,30,97,98,Q,IT
Harsh,13,60,35,D,IT
Harshit,14,45,56,E,IT
Dev,30,92,81,Q,IT
Debdatta,26,85,25,A,IT
Koyel,13,45,15,E,IT
Kattapa,9,32,7,F,IT
Heroin,23,75,56,B,IT
Shah,16,70,75,C,IT
Salman,18,67,83,C,IT
Amir,26,89,65,A,IT
Varun,29,90,32,Q,IT
Suresh,8,25,21,F,IT
Disha,11,39,32,F,IT
Kareena,23,67,48,D,IT
Amrit,25,95,90,Q,IT
Alia,20,80,73,B,IT
Sunaina,2,14,0,F,IT
Premika,17,54,5,D,IT
Laxman,18,67,9,C,IT
Hanuman,29,96,79,Q,IT
Dixit,21,81,89,B,IT
Jai,23,74,64,B,IT
Priya,30,100,100,Q,IT
Nisha,23,71,78,B,CSE
Anushka,29,93,32,Q,CSE
Shibani,4,15,67,F,CSE
Shivani,13,59,45,D,CSE
Alok,28,91,29,Q,CSE
Alaap,27,89,89,A,CSE
Utkarsh,15,68,96,C,CSE
Rishav,18,72,67,C,CSE
Manan,12,48,60,E,CSE
Hira,30,99,100,Q,CSE
Kheera,27,85,90,A,CSE
Uttaran,7,31,23,F,CSE
Manoj,4,21,13,F,CSE
Gauri,0,0,0,F,CSE
Gowri,16,61,53,D,CSE
Laila,14,47,78,E,CSE
Majnu,21,70,32,D,CSE
Romeo,29,97,45,Q,CSE
Juliet,18,60,89,E,CSE
Shakes,30,100,45,Q,CSE
Lilu,12,40,67,E,CSE
Tittu,24,80,89,B,CSE
Meethu,26,87,90,A,CSE
Chintu,28,93,12,Q,CSE
Lalu,1,3,0,F,CSE
Aalu,4,13,5,F,CSE
Kalu,12,40,56,E,ECE
Kcm,18,60,78,D,ECE
Sangeeta,15,50,21,E,ECE
Mohit,21,70,67,D,ECE
Rohit,23,77,89,B,ECE
Hitesh,25,83,76,A,ECE
Brijesh,12,40,34,E,ECE
Bantu,13,43,23,D,ECE
Nityesh,16,53,67,C,ECE
Karan,19,63,89,C,ECE
Dileep,5,17,90,F,ECE
Ninja,14,47,91,D,ECE
Dandu,9,30,23,F,ECE
Sokha,25,83,45,A,ECE
Sukhi,29,97,67,Q,ECE
Ravi,23,77,76,B,ECE
Gourav,25,83,54,A,ECE
Roshab,16,53,43,D,ECE
Roshani,17,57,89,D,ECE
Roshan,17,57,98,D,ECE
Amarnath,9,30,87,F,ECE
Som,23,77,76,B,ECE
Somnath,26,87,21,A,ECE
Nagesh,23,77,12,B,ECE
Roza,12,40,34,E,Printing
Reza,29,97,56,Q,Printing
Dipro,24,80,78,B,Printing
Diprotiv,30,100,90,Q,Printing
Alex,21,70,32,B,Printing
Alexa,15,50,54,D,Printing
Asona,2,7,65,F,Printing
Sona,13,43,76,E,Printing
Simran,19,63,87,D,Printing
Sharmeela,27,90,23,A,Printing
Nisshita,21,70,45,C,Printing
Ishita,24,80,94,B,Printing
Harma,15,50,63,D,Printing
Loyal,18,60,26,C,Printing
Uber,23,77,24,B,Printing
zomato,21,70,36,C,Printing
Kerala,13,43,58,E,Printing
Andhra,15,50,96,D,Printing
Hima,18,60,53,C,Printing
Sima,23,77,75,B,Printing
Kima,25,83,78,A,Printing
Nirma,27,90,57,A,Printing
Birla,21,70,87,C,Printing
Uta,27,90,75,A,Printing
Lily,23,77,53,B,Printing
Hamesha,30,100,45,Q,Printing
Lullu,2,7,32,F,Printing
llu,6,20,78,F,Printing
Nisha,13,43,81,E,Printing
Kisha,15,50,85,D,Printing
Katrina,21,70,0,B,Printing
Dipika,28,93,34,Q,Printing
Deepika,21,70,51,B,Printing
Priyanka,13,43,10,E,Printing
Moondhra,12,40,8,E,Printing
Harshita,10,33,90,F,Printing
Hasena,7,23,64,F,Printing
Nirmala,25,83,56,A,Printing
Bahumati,23,77,76,B,Printing
Sakshi,23,77,34,B,Chemical
Kriti,25,83,58,A,Chemical
Kirti,1,3,98,F,Chemical
Ghochi,6,20,75,F,Chemical
Nidhi,13,43,35,E,Chemical
Pridhi,17,57,56,D,Chemical
Pari,19,63,38,C,Chemical
Paridhi,23,77,90,B,Chemical
Nishika,28,93,76,Q,Chemical
Ishika,29,97,3,Q,Chemical
Harmone,18,60,0,D,Chemical
Hormone,14,47,26,E,Chemical
Kamali,9,30,46,F,Chemical
Herbal,27,90,89,A,Chemical
Shilpa,14,47,64,E,Chemical
Milpa,13,43,35,E,Chemical
Mylta,25,83,47,A,Chemical
Hnacouver,19,63,67,C,Chemical
Drola,18,60,90,D,Chemical
Srudha,27,90,32,A,Chemical
Shradha,25,83,54,A,Chemical
Mundhra,16,53,65,C,Chemical
Rohini,17,57,76,C,Chemical
Ganchi,18,60,87,C,Chemical
nir,19,63,12,C,Chemical
gir,4,13,1,F,Chemical
sanju,5,17,45,F,Chemical
sanjay,25,83,34,A,Chemical
anju,24,80,67,B,Chemical
manju,13,43,78,E,Chemical
lakshmi,17,57,98,D,Chemical
rekha,19,63,65,C,Chemical
sreedevi,24,80,45,B,Chemical
nirm,28,93,12,Q,Chemical
Firm,21,70,45,C,Chemical
aloksha,19,63,67,C,Chemical
Dipanita,15,50,76,D,Chemical
Rover,9,30,98,F,Chemical
Grover,19,63,45,C,Chemical
Sultan,13,43,34,E,Chemical
Wasif,24,80,50,B,Chemical
Nasiff,30,100,43,Q,Chemical
Tarulata,1,3,98,F,Chemical
Tari,4,13,57,F,Chemical
Barelli,6,20,46,F,Chemical
Shimla,13,43,37,E,Chemical
Puri,20,67,85,C,Chemical
Shruti,29,97,65,Q,Chemical
Sarla,15,50,34,E,Chemical
Garla,17,57,56,D,Chemical
Ahmad,26,87,78,A,Chemical
Ansari,12,40,54,F,Chemical
Md,2,7,67,F,Chemical
Virat,16,53,90,D,Chemical
Pujara,8,27,98,F,Power
Rahane,28,93,54,Q,Power
Sachin,26,87,58,A,Power
Sehwag,23,77,54,B,Power
Rahul,15,50,78,E,Power
Dravid,17,57,65,D,Power
Tendulkar,27,90,67,A,Power
KL Rahul,26,87,78,A,Power
Akram,15,50,65,E,Power
Umar,3,10,32,F,Power
Gul,18,60,12,D,Power
Gautam,27,90,0,A,Power
Muskan,23,77,90,B,Power
Vidhi,2,7,74,F,Power
Faiz,24,80,56,B,Power
Ritik,26,87,57,A,Power
Vaibhav,27,90,24,A,Power
hiteshi,29,97,78,Q,Power
Norm,13,43,34,E,Power
Nobita,16,53,78,D,Power
Doraemon,29,97,90,Q,Power
Shizuka,26,87,11,A,Power
Maurya,23,77,5,B,Power
Mughal,19,63,34,C,Power
Gupta,1,3,33,F,Power
Ankit,14,47,48,E,Power
Agarwal,18,60,44,D,Power
Himesh,20,67,8,C,Power
Shaan,30,100,87,Q,Power
Niti,2,7,53,F,Power
Mukti,21,70,67,C,Power
Bhajji,12,40,21,F,Power
Yuvraj,14,47,32,E,Power
Singhal,18,60,43,D,Power
Singh,21,70,54,C,Power
Himitesh,25,83,76,A,Power
Keshari,22,73,98,B,Power
Murli,20,67,78,C,Power
Kartik,12,40,34,F,Power
Mukt,19,63,12,C,Power
Lux,5,17,78,F,Power
Margo,8,27,90,F,Power
Namaste,15,50,9,E,Power
Hello,14,47,76,E,Power
Pranav,19,63,45,C,Power
Debjyoti,29,97,18,Q,Power
